"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000201,30.3,percent,28.9,31.8,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000201,23.3,percent,21.7,24.5,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000201,23.9,percent,22.5,25.4,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000201,23.7,percent,22.3,25.3,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000201,23.8,percent,22.3,25.4,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000201,23.9,percent,22.5,25.5,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000202,25.6,percent,21.7,30.3,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000202,22.4,percent,21.3,23.7,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000202,30.2,percent,28.8,31.6,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000202,23.2,percent,22.0,24.1,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000202,24.3,percent,23.1,25.7,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000202,24.2,percent,22.9,25.7,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000202,23.6,percent,22.3,24.9,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000202,23.4,percent,22.2,24.6,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000204,25.5,percent,21.5,30.4,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000204,22.3,percent,21.3,23.4,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000204,29.8,percent,28.5,31.2,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000204,22.5,percent,21.4,23.6,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000204,23.1,percent,22.0,24.3,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000204,23.6,percent,22.4,24.9,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000204,23.5,percent,22.3,24.7,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000204,23.5,percent,22.3,24.9,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000205,25.7,percent,21.5,30.3,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000205,22.4,percent,21.3,23.5,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000205,30.2,percent,29.0,31.4,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000205,22.8,percent,21.7,23.6,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000205,23.9,percent,22.8,25.2,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000205,24.0,percent,22.8,25.5,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000205,23.7,percent,22.6,24.9,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000205,24.0,percent,22.8,25.2,,,,,No,2014,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000300,23.3,percent,19.5,27.6,,,,,No,2021,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000300,20.5,percent,19.4,21.5,,,,,No,2020,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.<div class=""field_divider""><!-- --></div>Census 2010 population counts and geographic boundaries data were used because corresponding Census 2020 population data are not available.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000300,27.4,percent,26.3,28.6,,,,,No,2019,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000300,21.2,percent,20.3,22.4,,,,,No,2018,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000300,21.5,percent,20.5,22.7,,,,,No,2017,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000300,20.7,percent,19.7,21.9,,,,,No,2016,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
"Adults Who Are Obese","This indicator shows the percentage of adults aged 18 and older who are obese according to the Body Mass Index (BMI). The BMI is calculated by taking a person's weight and dividing it by their height squared in metric units (BMI = Weight (Kg)/[Height (m) ^ 2]). A BMI &gt;=30 is considered obese.","Census Tract",55025000300,20.4,percent,19.4,21.6,,,,,No,2015,"CDC - PLACES","Sub-county small area estimates use state and county data from the CDC's Behavioral Risk Factor Surveillance System (BRFSS) in tandem with demographic data for census tracts and cities. It is not appropriate to use this data for evaluation purposes.",,,,,,,,,,,,,
